Name;About;PersonalityType;Universe;Profile;;;;
Cersei Lannister;Game of Thrones;ESTJ_A;GOT;Executive;;;;;
Vegeta ;Dragon Ball Z;ESTJ_A;;Executive;;;;;
Hillary Clinton;American politician;ESTJ_A;REALPERSON;Executive;;;;;
Kim Jong-un;North Korean politician serving as Supreme Leader of North Korea ;ESTJ_A;REALPERSON;Executive;;;;;
Dolores Umbridge;Harry Potter / Wizarding World Films;ESTJ_A;HARRYPOTTER;Executive;;;;;
Lydia Martin;Teen Wolf;ESTJ_A;;Executive;;;;;
Michael De Santa;Grand Theft Auto (GTA);ESTJ_A;;Executive;;;;;
Robb Stark;Game of Thrones;ESTJ_A;GOT;Executive;;;;;
Alma Coin;The Hunger Games;ESTJ_A;HUNGER;Executive;;;;;
Captain Hector Barbossa;Pirates of the Caribbean;ESTJ_A;PIRATES;Executive;;;;;
Fred Jones;Scooby-Doo, Where Are You;ESTJ_A;;Executive;;;;;
Kratos;God of War;ESTJ_A;;Executive;;;;;
Lucius Malfoy;Harry Potter / Wizarding World Films;ESTJ_A;HARRYPOTTER;Executive;;;;;
General Hux;Star Wars;ESTJ_A;STARWARS;Executive;;;;;
Raquel Murillo;La Casa de Papel (The Money Heist);ESTJ_A;;Executive;;;;;
General Grievous;Star Wars;ESTJ_A;STARWARS;Executive;;;;;
Thoden;The Lord of the Rings;ESTJ_A;RINGS;Executive;;;;;
Lagertha;Vikings;ESTJ_A;Vikings;Executive;;;;;
Theresa May;British politician serving as the outgoing Prime Minister;ESTJ_A;REALPERSON;Executive;;;;;
Pitbull;American Rapper;ESTJ_A;REALPERSON;Executive;;;;;
Yara Greyjoy;Game of Thrones;ESTJ_A;GOT;Executive;;;;;
Karin Uzumaki;NARUTO Shippuden;ESTJ_A;NARUTO;Executive;;;;;
Taylor Swift;American singer-songwriter;ESFJ_A;;Consul;;;;;
Jennifer Lopez;American singer, actress and dancer;ESFJ_A;;Consul;;;;;
Steve Harvey;American television presenter, comedian, actor, broadcaster, author, game show host and businessman.;ESFJ_A;;Consul;;;;;
Danny Glover;American actor, film director, and political activist;ESFJ_A;;Consul;;;;;
Tyra Banks;American television personality, model, businesswoman, producer, actress, and writer;ESFJ_A;;Consul;;;;;
Sansa Stark;Game of Thrones;ESFJ_A;GOT;Consul;;;;;
Dean Winchester;Supernatural;ESFJ_A;;Consul;;;;;
Monica ;Friends;ESFJ_A;;Consul;;;;;
Mrs. Hudson;Sherlock Holmes;ESFJ_A;;Consul;;;;;
SpongeBob SquarePants;SpongeBob SquarePants;ESFJ_A;;Consul;;;;;
Ariana Grande;American singer and actress;ESFJ_A;REALPERSON;Consul;;;;;
Joseph Joe Robinette Biden Jr.;American politician who is the 46th and current president of the United States since 2021;ESFJ_A;;Consul;;;;;
Sakura Haruno;NARUTO Shippuden;ESFJ_A;NARUTO;Consul;;;;;
Reiner Braun;Shingeki no Kyojin (Attack on Titan);ESFJ_A;;Consul;;;;;
Nancy Wheeler;Stranger Things;ESFJ_A;;Consul;;;;;
Tahani Al-Jamil;The Good Place;ESFJ_A;;Consul;;;;;
Rock Lee;NARUTO Shippuden;ESFJ_A;NARUTO;Consul;;;;;
Caroline Forbes;The Vampire Diaries;ESFJ_A;;Consul;;;;;
Emily Cooper;Emily in Paris;ESFJ_A;;Consul;;;;;
Aimee Gibbs;Sex Education;ESFJ_A;;Consul;;;;;
Daphne Blake;Scooby-Doo, Where Are You;ESFJ_A;;Consul;;;;;
Lebron James;American professional basketball player for the Los Angeles Lakers of the NBA;ESFJ_A;;Consul;;;;;
John Cena;American professional wrestler, actor, rapper, and television host;ESFJ_A;;Consul;;;;;
Dolly Parton;American singer, songwriter, multi-instrumentalist, record producer, actress, author, businesswoman, and philanthropist;ESFJ_A;;Consul;;;;;
Arturo Roman;La Casa de Papel (The Money Heist);ESFJ_A;;Consul;;;;;
Levi Ackerman;Shingeki no Kyojin (Attack on Titan);ISTP_A;;Virtuoso;;;;;
Olivia Wilde;American actress and filmmaker who holds both American and Irish citizenship;ISTP_A;REALPERSON;Virtuoso;;;;;
Bear Grylls;British adventurer, writer, television presenter and businessman;ISTP_A;REALPERSON;Virtuoso;;;;;
Michael Jordan;American businessman and former professional basketball player;ISTP_A;REALPERSON;Virtuoso;;;;;
